time,power
23:16:44,133.11
23:16:45,125.67
23:16:46,125.67
23:16:47,128.87
23:16:48,130.47
23:16:49,131.93
23:16:50,131.93
23:16:51,136.42
23:16:52,131.60
23:16:53,130.92
23:16:54,121.73
23:16:55,138.38
23:16:56,131.09
23:16:57,135.29
23:16:58,135.29
23:16:59,229.78
23:17:00,229.78
23:17:01,207.98
23:17:02,207.98
23:17:03,210.91
23:17:04,210.91
23:17:05,250.54
23:17:06,250.54
23:17:07,253.66
23:17:08,254.69
23:17:09,254.69
23:17:10,253.40
23:17:11,247.93
23:17:12,247.93
23:17:13,253.95
23:17:14,253.95
23:17:15,264.84
23:17:16,264.84
23:17:17,265.42
23:17:18,292.14
23:17:19,244.32
23:17:20,268.61
23:17:21,263.45
23:17:22,261.56
23:17:23,258.81
23:17:24,273.57
23:17:25,209.65
23:17:26,207.77
23:17:27,208.74
23:17:28,177.11
23:17:29,208.08
23:17:30,186.43
23:17:31,192.31
23:17:32,200.16
23:17:33,201.31
23:17:34,201.19
23:17:35,195.08
23:17:36,196.62
23:17:37,194.76
23:17:38,202.27
23:17:39,192.86
23:17:40,173.72
23:17:41,287.96
23:17:42,279.57
23:17:43,298.38
23:17:44,278.53
23:17:45,264.38
23:17:46,288.23
23:17:47,291.73
23:17:48,289.28
23:17:49,279.04
23:17:50,273.46
23:17:51,282.06
23:17:52,294.11
23:17:53,276.93
23:17:54,197.24
23:17:55,190.78
23:17:56,181.71
23:17:57,183.03
23:17:58,170.90
23:17:59,185.05
23:18:00,200.14
23:18:01,187.24
23:18:02,195.96
23:18:03,192.05
23:18:04,196.02
23:18:05,188.27
23:18:06,190.28
23:18:07,185.98
23:18:08,185.62
23:18:09,191.08
23:18:10,293.48
23:18:11,321.62
23:18:12,319.14
23:18:13,305.65
23:18:14,325.05
23:18:15,301.84
23:18:16,328.45
23:18:17,316.85
23:18:18,298.16
23:18:19,318.76
23:18:20,306.75
23:18:21,311.48
23:18:22,318.60
23:18:23,312.13
23:18:24,203.40
23:18:25,208.84
23:18:26,208.03
23:18:27,195.03
23:18:28,198.61
23:18:29,214.84
23:18:30,203.73
23:18:31,210.41
23:18:32,181.31
23:18:33,205.94
23:18:34,208.56
23:18:35,188.41
23:18:36,177.06
23:18:37,197.01
23:18:38,186.73
23:18:39,200.66
23:18:40,188.91
23:18:41,309.90
23:18:42,351.35
23:18:43,334.41
23:18:44,351.78
23:18:45,330.99
23:18:46,316.12
23:18:47,334.06
23:18:48,326.34
23:18:49,329.80
23:18:50,339.79
23:18:51,341.97
23:18:52,329.45
23:18:53,334.57
23:18:54,337.37
23:18:55,319.88
23:18:56,327.68
23:18:57,203.72
23:18:58,207.78
23:18:59,200.47
23:19:00,207.64
23:19:01,185.05
23:19:02,189.23
23:19:03,185.77
23:19:04,199.86
23:19:05,184.06
23:19:06,190.68
23:19:07,201.45
23:19:08,203.49
23:19:09,173.57
23:19:10,187.84
23:19:11,190.55
23:19:12,193.76
23:19:13,298.87
23:19:14,306.04
23:19:15,307.58
23:19:16,305.05
23:19:17,311.42
23:19:18,311.11
23:19:19,321.94
23:19:20,300.51
23:19:21,313.29
23:19:22,316.45
23:19:23,329.42
23:19:24,340.96
23:19:25,318.65
23:19:26,328.91
23:19:27,314.96
23:19:28,288.53
23:19:29,317.28
23:19:30,288.10
23:19:31,312.90
23:19:32,203.93
23:19:33,191.45
23:19:34,211.02
23:19:35,190.87
23:19:36,186.41
23:19:37,186.56
23:19:38,193.21
23:19:39,235.63
23:19:40,198.91
23:19:41,189.75
23:19:42,192.80
23:19:43,196.44
23:19:44,197.84
23:19:45,188.29
23:19:46,194.85
23:19:47,211.58
23:19:48,182.30
23:19:49,320.50
23:19:50,319.13
23:19:51,358.08
23:19:52,358.08
23:19:53,353.16
23:19:54,353.16
23:19:55,341.83
23:19:56,341.83
23:19:57,335.45
23:19:58,335.45
23:19:59,363.61
23:20:00,363.61
23:20:01,326.67
23:20:02,326.67
23:20:03,186.67
23:20:04,186.67
23:20:05,187.36
23:20:06,187.36
23:20:07,201.54
23:20:08,201.54
23:20:09,202.35
23:20:10,202.35
23:20:11,184.79
23:20:12,184.79
23:20:13,191.72
23:20:14,191.72
23:20:15,195.86
23:20:16,199.15
23:20:17,197.38
23:20:18,197.38
23:20:19,344.43
23:20:20,344.43
23:20:21,349.49
23:20:22,358.96
23:20:23,359.68
23:20:24,367.43
23:20:25,379.35
23:20:26,382.89
23:20:27,387.38
23:20:28,375.47
23:20:29,384.99
23:20:30,376.80
23:20:31,373.74
23:20:32,365.35
23:20:33,377.77
23:20:34,387.55
23:20:35,198.36
23:20:36,207.13
23:20:37,196.25
23:20:38,187.29
23:20:39,208.20
23:20:40,224.71
23:20:41,168.47
23:20:42,193.78
23:20:43,194.21
23:20:44,192.68
23:20:45,185.75
23:20:46,197.77
23:20:47,194.64
23:20:48,190.61
23:20:49,186.39
23:20:50,233.26
23:20:51,188.00
23:20:52,399.12
23:20:53,397.56
23:20:54,421.23
23:20:55,415.04
23:20:56,387.15
23:20:57,415.52
23:20:58,420.62
23:20:59,383.81
23:21:00,413.60
23:21:01,400.72
23:21:02,450.62
23:21:03,394.24
23:21:04,420.54
23:21:05,432.48
23:21:06,414.55
23:21:07,418.89
23:21:08,204.27
23:21:09,200.74
23:21:10,199.20
23:21:11,193.55
23:21:12,203.26
23:21:13,209.81
23:21:14,191.75
23:21:15,194.16
23:21:16,199.44
23:21:17,183.17
23:21:18,207.03
23:21:19,197.19
23:21:20,195.21
23:21:21,189.35
23:21:22,201.34
23:21:23,221.79
23:21:24,206.99
23:21:25,190.51
23:21:26,418.12
23:21:27,408.14
23:21:28,403.98
23:21:29,402.10
23:21:30,402.38
23:21:31,418.84
23:21:32,418.91
23:21:33,430.88
23:21:34,411.61
23:21:35,451.75
23:21:36,429.78
23:21:37,402.03
23:21:38,397.07
23:21:39,417.54
23:21:40,403.10
23:21:41,413.84
23:21:42,432.41
23:21:43,386.88
23:21:44,428.14
23:21:45,206.32
23:21:46,189.44
23:21:47,168.84
23:21:48,189.85
23:21:49,215.99
23:21:50,188.71
23:21:51,213.39
23:21:52,177.73
23:21:53,206.80
23:21:54,199.69
23:21:55,192.46
23:21:56,206.91
23:21:57,178.25
23:21:58,190.79
23:21:59,194.61
23:22:00,193.46
23:22:01,193.03
23:22:02,195.42
23:22:03,190.89
23:22:04,448.60
23:22:05,446.98
23:22:06,447.94
23:22:07,464.23
23:22:08,470.20
23:22:09,476.42
23:22:10,464.76
23:22:11,490.69
23:22:12,470.56
23:22:13,461.05
23:22:14,466.75
23:22:15,474.78
23:22:16,474.48
23:22:17,461.98
23:22:18,470.40
23:22:19,476.06
23:22:20,219.41
23:22:21,211.17
23:22:22,202.99
23:22:23,197.34
23:22:24,169.61
23:22:25,199.43
23:22:26,198.10
23:22:27,197.58
23:22:28,220.69
23:22:29,211.16
23:22:30,182.82
23:22:31,210.39
23:22:32,179.45
23:22:33,194.03
23:22:34,201.49
23:22:35,202.05
23:22:36,224.11
23:22:37,194.59
23:22:38,202.80
23:22:39,355.89
23:22:40,428.56
23:22:41,460.07
23:22:42,474.23
23:22:43,456.83
23:22:44,494.35
23:22:45,477.05
23:22:46,462.27
23:22:47,481.95
23:22:48,495.74
23:22:49,512.30
23:22:50,490.42
23:22:51,476.56
23:22:52,476.56
23:22:53,494.36
23:22:54,494.36
23:22:55,499.72
23:22:56,499.72
23:22:57,199.81
23:22:58,204.42
23:22:59,185.95
23:23:00,192.86
23:23:01,196.29
23:23:02,192.21
23:23:03,182.43
23:23:04,182.43
23:23:05,185.77
23:23:06,185.77
23:23:07,195.42
23:23:08,195.42
23:23:09,191.77
23:23:10,191.77
23:23:11,214.10
23:23:12,214.10
23:23:13,201.95
23:23:14,201.95
23:23:15,192.81
23:23:16,415.78
23:23:17,415.78
23:23:18,477.93
23:23:19,473.01
23:23:20,496.76
23:23:21,496.76
23:23:22,474.97
23:23:23,501.80
23:23:24,501.75
23:23:25,466.22
23:23:26,508.33
23:23:27,513.06
23:23:28,512.72
23:23:29,476.93
23:23:30,500.35
23:23:31,520.14
23:23:32,506.08
23:23:33,500.94
23:23:34,202.86
23:23:35,194.03
23:23:36,195.61
23:23:37,198.17
23:23:38,188.23
23:23:39,188.23
23:23:40,184.09
23:23:41,183.98
23:23:42,179.43
23:23:43,210.75
23:23:44,199.12
23:23:45,192.14
23:23:46,205.22
23:23:47,190.86
23:23:48,186.75
23:23:49,195.32
23:23:50,189.25
23:23:51,179.16
23:23:52,150.77
23:23:53,137.87
23:23:54,151.94
23:23:55,156.72
23:23:56,142.70
23:23:57,143.10
23:23:58,156.27
